Company_Name,Sector,Funding_round,Amount_raised,Sub-sector,Source Website
[24]7.ai,Enterprise Software,--,--,Sales & Marketing / Adtech,https://forgeglobal.com/search-companies/?page=71
/dev/Agents,Enterprise Software,Series Seed,$56MM,Cloud / Networking Infrastructure,https://forgeglobal.com/search-companies/?page=135
&pizza,Transportation,--,--,Delivery Services,https://forgeglobal.com/search-companies/?page=111
0x,Fintech,--,--,Other Fintech,https://forgeglobal.com/search-companies/?page=111
100 Thieves,Consumer & Lifestyle,Series C,$60MM,Gaming,https://forgeglobal.com/search-companies/?page=59
1047 Games,Consumer & Lifestyle,Series X,$8MM,Gaming,https://forgeglobal.com/search-companies/?page=111
10x Genomics  Inc.,Healthcare,Series D-1,$35MM,Biotech & Pharma,https://forgeglobal.com/search-companies/?page=53
11x,Enterprise Software,Series B,$50.18MM,Communication & Collaboration Software,https://forgeglobal.com/search-companies/?page=67
128 Technology,Enterprise Software,--,--,Cloud / Networking Infrastructure,https://forgeglobal.com/search-companies/?page=125
1366 Technologies,Technology Hardware,--,--,Computing Hardware,https://forgeglobal.com/search-companies/?page=141
15Five,Enterprise Software,--,--,Other Enterprise Software,https://forgeglobal.com/search-companies/?page=141
1Life Healthcare,Healthcare,--,--,Other Healthcare,https://forgeglobal.com/search-companies/?page=141
1MORE,Consumer & Lifestyle,--,--,Consumer Electronics,https://forgeglobal.com/search-companies/?page=175
1Password,Enterprise Software,--,--,Cybersecurity,https://forgeglobal.com/search-companies/?page=40
1stdibs,Consumer & Lifestyle,Series D,$80MM,E-commerce,https://forgeglobal.com/search-companies/?page=119
1x,Industrial,--,--,Robotics,https://forgeglobal.com/search-companies/?page=16
23andMe,Healthcare,Series F-1,$385MM,Healthcare Providers & Services,https://forgeglobal.com/search-companies/?page=151
24M,Energy,Series H,$87MM,Energy Storage,https://forgeglobal.com/search-companies/?page=32
280 earth,Industrial,Series B,$50MM,Manufacturing,https://forgeglobal.com/search-companies/?page=110
3DR,Industrial,Series D,$54.16MM,Industrial Software,https://forgeglobal.com/search-companies/?page=110
3T Biosciences,Healthcare,--,--,Biotech & Pharma,https://forgeglobal.com/search-companies/?page=86
4C,Enterprise Software,--,--,Sales & Marketing / Adtech,https://forgeglobal.com/search-companies/?page=76
4D Molecular Therapeutics (4DMT),Healthcare,--,--,Biotech & Pharma,https://forgeglobal.com/search-companies/?page=141
4DReplay,Industrial,Series B-2,$23MM,Industrial Equipment,https://forgeglobal.com/search-companies/?page=174
5ire,Fintech,--,--,Blockchain Software,https://forgeglobal.com/search-companies/?page=125
5miles,Consumer & Lifestyle,--,--,E-commerce,https://forgeglobal.com/search-companies/?page=125
6K,Industrial,Series E-1,$60.7MM,Materials,https://forgeglobal.com/search-companies/?page=74
6sense,Enterprise Software,Series E-1,$180MM,Sales & Marketing / Adtech,https://forgeglobal.com/search-companies/?page=14
75F,Industrial,--,--,Construction,https://forgeglobal.com/search-companies/?page=175
8base,Enterprise Software,--,--,Productivity,https://forgeglobal.com/search-companies/?page=97
8fig,Enterprise Software,Series B,$40MM,Productivity,https://forgeglobal.com/search-companies/?page=85
8i,Enterprise Software,Series AAA,$506 600.00,Data Intelligence,https://forgeglobal.com/search-companies/?page=97
908 Devices,Healthcare,--,--,Biotech & Pharma,https://forgeglobal.com/search-companies/?page=111
98point6,Healthcare,Series E,$134.21MM,Digital Health,https://forgeglobal.com/search-companies/?page=153
99designs,Consumer & Lifestyle,--,--,Other Consumer & Lifestyle,https://forgeglobal.com/search-companies/?page=111
A.Team,Enterprise Software,--,--,Productivity,https://forgeglobal.com/search-companies/?page=141
A2 Biotherapeutics,Healthcare,Series C,$80MM,Biotech & Pharma,https://forgeglobal.com/search-companies/?page=84
A24 Films,Consumer & Lifestyle,,,Entertainment,https://forgeglobal.com/search-companies/?page=12
Aalo Atomics,Energy,Series B,$100MM,Clean Energy,https://forgeglobal.com/search-companies/?page=54
Aardvark Therapeutics,Healthcare,Series C,$85MM,Biotech & Pharma,https://forgeglobal.com/search-companies/?page=96
Abacus.AI,Enterprise Software,Series C-1,$55.5MM,Data Intelligence,https://forgeglobal.com/search-companies/?page=30
Abcuro,Healthcare,Series C-2,$120MM,Biotech & Pharma,https://forgeglobal.com/search-companies/?page=105
ABL Space Systems,Industrial,Series AA,$25MM,Aerospace & Defense,https://forgeglobal.com/search-companies/?page=36
Abnormal AI,Enterprise Software,Series D,$250MM,Cybersecurity,https://forgeglobal.com/search-companies/?page=14
Abpro,Healthcare,Series F,$2MM,Biotech & Pharma,https://forgeglobal.com/search-companies/?page=119
Abra,Fintech,Series C,$41.52MM,Blockchain,https://forgeglobal.com/search-companies/?page=26
Abridge,Healthcare,Series E,$300MM,Healthcare Software,https://forgeglobal.com/search-companies/?page=2
Abridge,Healthcare,Series E,$300MM,Healthcare Software,https://forgeglobal.com/search-companies/?page=2
Abstract,Enterprise Software,--,--,Other Enterprise Software,https://forgeglobal.com/search-companies/?page=158
Acadia,Fintech,--,--,Other Fintech,https://forgeglobal.com/search-companies/?page=158
Acceldata,Enterprise Software,Series C,$50MM,Data Intelligence,https://forgeglobal.com/search-companies/?page=75
Accelerant,Fintech,--,--,Insurance,https://forgeglobal.com/search-companies/?page=111
Accelus,Healthcare,Series 2,$1.75MM,Medical Devices,https://forgeglobal.com/search-companies/?page=110
Accent Therapeutics,Healthcare,--,--,Biotech & Pharma,https://forgeglobal.com/search-companies/?page=97
AccessFintech,Fintech,--,--,Lending,https://forgeglobal.com/search-companies/?page=175
accessiBe,Enterprise Software,--,--,Software Development,https://forgeglobal.com/search-companies/?page=141
Accolade,Healthcare,--,--,Other Healthcare,https://forgeglobal.com/search-companies/?page=76
Accompany Health,Healthcare,--,--,Digital Health,https://forgeglobal.com/search-companies/?page=111
Accutar Biotechnology,Healthcare,Series B+4,$80MM,Biotech & Pharma,https://forgeglobal.com/search-companies/?page=92
ACE Green Recycling,Energy,--,--,Clean Energy,https://forgeglobal.com/search-companies/?page=98
Acelyrin,Healthcare,Series C,$300MM,Biotech & Pharma,https://forgeglobal.com/search-companies/?page=105
Acepodia,Healthcare,--,--,Biotech & Pharma,https://forgeglobal.com/search-companies/?page=125
Achates Power,Transportation,--,--,Other Transportation,https://forgeglobal.com/search-companies/?page=98
Achronix,Technology Hardware,Series D2,$51MM,Computing Hardware,https://forgeglobal.com/search-companies/?page=40
Acin,Enterprise Software,--,--,Data Intelligence,https://forgeglobal.com/search-companies/?page=175
Acorns,Fintech,Series G-F,$180.91MM,Personal Finance,https://forgeglobal.com/search-companies/?page=6
Acquia,Enterprise Software,Series G-1,$10.22MM,Sales & Marketing / Adtech,https://forgeglobal.com/search-companies/?page=133
Acres Manufacturing,Consumer & Lifestyle,--,--,Entertainment,https://forgeglobal.com/search-companies/?page=175
AcreTrader,Real Estate,Series B-1,$21.49MM,Real Estate Products & Services,https://forgeglobal.com/search-companies/?page=74
Acrisure,Fintech,,,Insurance,https://forgeglobal.com/search-companies/?page=15
Acronis,Enterprise Software,--,--,Cybersecurity,https://forgeglobal.com/search-companies/?page=61
