Company Name,Business Sector,Category,Tags,H1B Sponsorship Likelihood,Fortune 500 (yes/no),Fortune 1500 (Yes if 500-1500/No),Boutique (Yes/No),AnalystsPick (Popular amoung Wallstreet waiting for IPO),Publicly traded (Yes/No)
"Apple","Consumer Hardware",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
"Microsoft","Enterprise SaaS & Cloud",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
"Amazon","E-commerce & Cloud",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
"Alphabet","Search & AI",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
"Meta","Social Media & VR",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
"Tesla","Automotive Tech",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
"Nvidia","Semiconductors & AI",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
"Berkshire Hathaway","Financial Conglomerate",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
"TSMC","Semiconductors",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
"Tencent","Media & Gaming",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
"JPMorgan Chase","Fintech & Banking",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
"Visa","Fintech & Payments",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
"UnitedHealth Group","Healthcare Tech",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
"Johnson & Johnson","Healthcare & Pharma",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
"Walmart","Retail Tech",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
"Mastercard","Fintech & Payments",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
"Procter & Gamble","Consumer Goods",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
"Samsung","Consumer Hardware",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
"Home Depot","Retail Tech",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
"Nestle","Consumer Goods",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
"Roche","Biotech",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
"Bank of America","Fintech & Banking",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
"Chevron","Energy Tech",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
"ASML","Semiconductors",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
"Pfizer","Pharma Tech",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
"Eli Lilly","Pharma Tech",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
"Coca-Cola","Consumer Goods",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
"Novartis","Biotech",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
"Broadcom","Semiconductors & Networking",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
"PepsiCo","Consumer Goods",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
"Thermo Fisher Scientific","Biotech",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
"Cisco","Networking Hardware",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
"Toyota","Automotive Tech",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
"Costco","Retail Tech",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
"Abbott Laboratories","Healthcare Tech",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
"Danaher","Biotech",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
"McDonalds","Retail Tech",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
"Wells Fargo","Fintech & Banking",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
"Salesforce","Enterprise SaaS",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
"Accenture","IT Consulting",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
"Walt Disney","Media & Entertainment",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
"Adobe","Creative Software",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
"LVMH","Luxury Retail",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
"Shell","Energy Tech",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
"Linamar","Manufacturing Tech",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
"BHP","Mining Tech",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
"Philip Morris","Consumer Goods",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
"Intel","Semiconductors",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
"Verizon","Telecommunications",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
"Texas Instruments","Semiconductors",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
"Comcast","Media & Telecom",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
"NextEra Energy","Energy Tech",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
"Linde","Industrial Tech",Enterprise,"Fortune, H1B Sponsor, Tech Leader",Very High,yes,no,No,No,Yes
